objectId,createdAt,updatedAt,ACL,name,state
0nsED8696K,Thu Dec 19 2019 08:33:23 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:23 GMT-0600 (Central Standard Time),null,"Pierce College Fort Steilacoom, Lakewood",5TYGpvW0rm
0oJSprBqPK,Thu Dec 19 2019 08:33:10 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:10 GMT-0600 (Central Standard Time),null,Riverside Campus,WJfKBdeYC9
0ov3ikcKXh,Thu Dec 19 2019 08:32:44 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:44 GMT-0600 (Central Standard Time),null,Wilson College,vKcIRkRCzk
0p2eNgFPJo,Thu Dec 19 2019 08:32:45 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:45 GMT-0600 (Central Standard Time),null,Lehigh Carbon Community College,vKcIRkRCzk
0rTpOToaoN,Thu Dec 19 2019 08:32:42 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:42 GMT-0600 (Central Standard Time),null,College of Staten Island,F5X764CJtI
0rj8nnFTCK,Thu Dec 19 2019 08:32:55 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:55 GMT-0600 (Central Standard Time),null,Auburn University,Bz2SEsNL7S
0rzNEOIp1D,Thu Dec 19 2019 08:32:44 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:44 GMT-0600 (Central Standard Time),null,Saint Joseph's University,vKcIRkRCzk
0sU0ovHL3f,Thu Dec 19 2019 08:33:19 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:19 GMT-0600 (Central Standard Time),null,Desert Research Institute,hn4lkH7CrW
0uIS8dxnzH,Thu Dec 19 2019 08:32:48 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:48 GMT-0600 (Central Standard Time),null,WGU Indiana,tAy4VFhYH8
0uP3mY98fM,Thu Dec 19 2019 08:33:23 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:23 GMT-0600 (Central Standard Time),null,Seattle Colleges District (formerly Seattle Community Colleges),5TYGpvW0rm
0urqc7QYo1,Thu Dec 19 2019 08:32:51 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:51 GMT-0600 (Central Standard Time),null,Missouri Baptist University,szstg9LhTE
0wwE08qRiI,Thu Dec 19 2019 08:33:11 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:11 GMT-0600 (Central Standard Time),null,Eagle Pass Campus,WJfKBdeYC9
0xlLvoaqms,Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:09 GMT-0600 (Central Standard Time),null,Trinity University,WJfKBdeYC9
0zFh0AabSq,Thu Dec 19 2019 08:32:42 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:42 GMT-0600 (Central Standard Time),null,State University of New York Upstate Medical University,F5X764CJtI
